TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
South,Central,1,3.29157851828469
South,Central,2,6.60162398178458
South,Central,3,4.04983604098554
South,Central,4,2.92265561591379
South,Central,5,4.44089209850063e-16
South,Central,6,0.0
South,Central,7,0.0
Central,North,1,2.72838572438182
Central,North,2,5.53008692414538
Central,North,3,2.17840332381864
Central,North,4,1.84841388348073
Central,North,5,1.62842092325546
Central,North,6,1.99091809910753
Central,North,7,0.0623590603176252
North,Central,1,0.0
North,Central,2,3.74559936085433
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
Central,South,1,7.15067396039632
Central,South,2,11.7953672290997
Central,South,3,8.51901505320644
Central,South,4,8.1062447567013
Central,South,5,5.895731300692
Central,South,6,8.14246791575861
Central,South,7,11.7953672290997
