load_zone,timestamp,component,injects_or_withdraws,value
North,1,ZoneTotalDistributedDispatch,injects,0.0
North,1,InjectIntoDistributedGrid,injects,5.000000000000003
North,1,zone_demand_mw,withdraws,-5.0
North,2,ZoneTotalDistributedDispatch,injects,0.0
North,2,InjectIntoDistributedGrid,injects,4.000000000000002
North,2,zone_demand_mw,withdraws,-4.0
North,3,ZoneTotalDistributedDispatch,injects,0.0
North,3,InjectIntoDistributedGrid,injects,4.499999999999997
North,3,zone_demand_mw,withdraws,-4.5
North,4,ZoneTotalDistributedDispatch,injects,0.0
North,4,InjectIntoDistributedGrid,injects,4.2
North,4,zone_demand_mw,withdraws,-4.2
North,5,ZoneTotalDistributedDispatch,injects,0.0
North,5,InjectIntoDistributedGrid,injects,4.000000000000002
North,5,zone_demand_mw,withdraws,-4.0
North,6,ZoneTotalDistributedDispatch,injects,0.0
North,6,InjectIntoDistributedGrid,injects,6.000000000000003
North,6,zone_demand_mw,withdraws,-6.0
North,7,ZoneTotalDistributedDispatch,injects,0.0
North,7,InjectIntoDistributedGrid,injects,6.000000000000003
North,7,zone_demand_mw,withdraws,-6.0
Central,1,ZoneTotalDistributedDispatch,injects,0.0
Central,1,InjectIntoDistributedGrid,injects,3.6999999999999953
Central,1,zone_demand_mw,withdraws,-3.7
Central,2,ZoneTotalDistributedDispatch,injects,0.0
Central,2,InjectIntoDistributedGrid,injects,3.0000000000000013
Central,2,zone_demand_mw,withdraws,-3.0
Central,3,ZoneTotalDistributedDispatch,injects,0.0
Central,3,InjectIntoDistributedGrid,injects,3.599999999999996
Central,3,zone_demand_mw,withdraws,-3.6
Central,4,ZoneTotalDistributedDispatch,injects,0.0
Central,4,InjectIntoDistributedGrid,injects,3.299999999999999
Central,4,zone_demand_mw,withdraws,-3.3
Central,5,ZoneTotalDistributedDispatch,injects,0.0
Central,5,InjectIntoDistributedGrid,injects,3.0000000000000013
Central,5,zone_demand_mw,withdraws,-3.0
Central,6,ZoneTotalDistributedDispatch,injects,0.0
Central,6,InjectIntoDistributedGrid,injects,4.000000000000002
Central,6,zone_demand_mw,withdraws,-4.0
Central,7,ZoneTotalDistributedDispatch,injects,0.0
Central,7,InjectIntoDistributedGrid,injects,4.599999999999997
Central,7,zone_demand_mw,withdraws,-4.6
South,1,ZoneTotalDistributedDispatch,injects,0.0
South,1,InjectIntoDistributedGrid,injects,6.000000000000003
South,1,zone_demand_mw,withdraws,-6.0
South,2,ZoneTotalDistributedDispatch,injects,0.0
South,2,InjectIntoDistributedGrid,injects,7.0000000000000036
South,2,zone_demand_mw,withdraws,-7.0
South,3,ZoneTotalDistributedDispatch,injects,0.0
South,3,InjectIntoDistributedGrid,injects,6.499999999999999
South,3,zone_demand_mw,withdraws,-6.5
South,4,ZoneTotalDistributedDispatch,injects,0.0
South,4,InjectIntoDistributedGrid,injects,7.200000000000002
South,4,zone_demand_mw,withdraws,-7.2
South,5,ZoneTotalDistributedDispatch,injects,0.0
South,5,InjectIntoDistributedGrid,injects,8.000000000000004
South,5,zone_demand_mw,withdraws,-8.0
South,6,ZoneTotalDistributedDispatch,injects,0.0
South,6,InjectIntoDistributedGrid,injects,10.000000000000005
South,6,zone_demand_mw,withdraws,-10.0
South,7,ZoneTotalDistributedDispatch,injects,0.0
South,7,InjectIntoDistributedGrid,injects,10.499999999999954
South,7,zone_demand_mw,withdraws,-10.5
