BASELOAD_GEN_PERIODS_1,BASELOAD_GEN_PERIODS_2,DispatchBaseloadByPeriod
N-Geothermal,2020,0.96858075
N-Geothermal,2030,0.96858075
N-Coal_IGCC,2020,-1.55431223447522e-15
N-Coal_IGCC,2030,-1.55431223447522e-15
N-Coal_IGCC_CCS,2030,-5.79829685129872e-16
N-Coal_ST,2020,1.692
N-Coal_ST,2030,1.692
N-Nuclear,2030,-0.0
N-Biomass_IGCC,2020,-0.0
N-Biomass_IGCC,2030,-0.0
N-Biomass_IGCC_CCS,2030,-0.0
C-Coal_IGCC,2020,1.83855685360079e-15
C-Coal_IGCC,2030,-0.0
C-Coal_ST,2020,1.692
C-Nuclear,2030,-0.0
C-Biomass_IGCC,2020,-0.0
C-Biomass_IGCC,2030,-0.0
S-Geothermal,2020,2.90574225
S-Geothermal,2030,2.90574225
S-Biomass_IGCC,2020,-0.0
S-Biomass_IGCC,2030,-0.0
S-Biomass_IGCC_CCS,2030,-0.0
