load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,4.54058,0.73925,5.27983
North,2025011512,4.22386,0,4.22386
North,2025011600,4.54058,0.211267,4.75185
North,2025011612,4.43506,0,4.43506
North,2025061500,4.2677,-0.043835,4.22386
North,2025061512,6.3358,0,6.3358
North,2035011512,8.58616,-2.25036,6.3358
Central,2025011500,4.02155,-0.114473,3.90707
Central,2025011512,3.1679,0,3.1679
Central,2025011600,4.02155,-0.22007,3.80148
Central,2025011612,3.48469,0,3.48469
Central,2025061500,4.02155,-0.85365,3.1679
Central,2025061512,5.90155,-1.67768,4.22386
Central,2035011512,11.4012,-6.5438,4.85744
South,2025011500,7.03322,-0.697424,6.3358
South,2025011512,7.39176,0,7.39176
South,2025011600,6.86378,0,6.86378
South,2025011612,7.60296,0,7.60296
South,2025061500,7.60574,0.841987,8.44773
South,2025061512,8.98264,1.57702,10.5597
South,2035011512,2.90574,8.1819,11.0876
