PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,FuelCostsPerPeriod,annual,1401537226.9451244,344441780.2256973
2020,GenVariableOMCostsInTP,timepoint,338764843.03310275,83254845.72859618
2020,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2020,StorageEnergyFixedCost,annual,67762.36441094274,16653.278258531347
2020,TotalGenFixedCosts,annual,2283562033.194723,561208191.1543831
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,FuelCostsPerPeriod,annual,1438791963.7489703,409916419.2544547
2025,GenVariableOMCostsInTP,timepoint,293173136.2050723,83525961.53070346
2025,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2025,StorageEnergyFixedCost,annual,2393333.776646931,681868.4260979234
2025,TotalGenFixedCosts,annual,2034475141.8752825,579628456.5328712
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,FuelCostsPerPeriod,annual,832608587.0303017,274994697.71552247
2030,GenVariableOMCostsInTP,timepoint,228094266.29369214,75335175.23978524
2030,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2030,StorageEnergyFixedCost,annual,128978667.58873098,42599187.97116982
2030,TotalGenFixedCosts,annual,2033164371.966002,671515320.1445576
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,FuelCostsPerPeriod,annual,731077937.840842,279919553.12329596
2035,GenVariableOMCostsInTP,timepoint,194871143.17068008,74613444.73622718
2035,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2035,StorageEnergyFixedCost,annual,139815342.91964927,53533346.15107599
2035,TotalGenFixedCosts,annual,1779205569.6027877,681233015.2221271
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,FuelCostsPerPeriod,annual,597946620.8149645,265410498.3325742
2040,GenVariableOMCostsInTP,timepoint,164333396.10512117,72942645.7724585
2040,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2040,StorageEnergyFixedCost,annual,175923797.52259526,78087275.92672491
2040,TotalGenFixedCosts,annual,1601714569.3475888,710952863.0794612
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,FuelCostsPerPeriod,annual,231758178.3099002,119255076.01616947
2045,GenVariableOMCostsInTP,timepoint,109957267.77651599,56580365.028950356
2045,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2045,StorageEnergyFixedCost,annual,266741985.24627796,137256583.38888475
2045,TotalGenFixedCosts,annual,1471134910.1132114,756997258.1549984
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
